Channel Index,Frame,Track ID,Steps, X (nm),Y (nm),Z (nm),Photon Count,Diffusion coeff. (um^2/s),Total Displacement,Duration (us)
1,23,38,69,29775.1,60282.7,0,1554.92,0.0274689,0.258289,0
1,24,38,69,29740.8,60255.5,0,1686.24,0.0274689,0.258289,0
1,25,38,69,29763.2,60275.1,0,3839.1,0.0274689,0.258289,0
1,26,38,69,29759.6,60245.4,0,1487.75,0.0274689,0.258289,0
1,27,38,69,29795.1,60264.8,0,1937.38,0.0274689,0.258289,0
1,28,38,69,29746.5,60268.6,0,1560.17,0.0274689,0.258289,0
1,29,38,69,29777,60248.9,0,1588.49,0.0274689,0.258289,0
1,30,38,69,29815.4,60242,0,1459.45,0.0274689,0.258289,0
1,31,38,69,29800.2,60229.8,0,1393.54,0.0274689,0.258289,0
1,32,38,69,29799.4,60249.2,0,1556.76,0.0274689,0.258289,0
1,33,38,69,29832.3,60206.4,0,1297.96,0.0274689,0.258289,0
1,34,38,69,29786.8,60231.7,0,2084.41,0.0274689,0.258289,0
1,35,38,69,29780,60257.5,0,1614.27,0.0274689,0.258289,0
1,36,38,69,29790.9,60271.4,0,2598.13,0.0274689,0.258289,0
1,37,38,69,29757.1,60263,0,2037.99,0.0274689,0.258289,0
1,38,38,69,29794.6,60261.3,0,3393.25,0.0274689,0.258289,0
1,39,38,69,29798.4,60243.8,0,1330.68,0.0274689,0.258289,0
1,40,38,69,29789.9,60258.8,0,2359.86,0.0274689,0.258289,0
1,41,38,69,29786.1,60283.1,0,1459.49,0.0274689,0.258289,0
1,42,38,69,29823.3,60191.4,0,1418.36,0.0274689,0.258289,0
1,43,38,69,29819.9,60180.3,0,2294.23,0.0274689,0.258289,0
1,44,38,69,29810.1,60222.5,0,2610.92,0.0274689,0.258289,0
1,45,38,69,29836,60210.4,0,1029.31,0.0274689,0.258289,0
1,46,38,69,29793,60206,0,2444.39,0.0274689,0.258289,0
1,47,38,69,29834.4,60207.2,0,1365.51,0.0274689,0.258289,0
1,48,38,69,29828.3,60205.7,0,1893.88,0.0274689,0.258289,0
1,49,38,69,29835,60189.7,0,1505.89,0.0274689,0.258289,0
1,50,38,69,29807.7,60209.2,0,2580.58,0.0274689,0.258289,0
1,51,38,69,29746.6,60226.6,0,1682.81,0.0274689,0.258289,0
1,52,38,69,29807.2,60190.5,0,1377.53,0.0274689,0.258289,0
1,53,38,69,29809.6,60253.5,0,1818.48,0.0274689,0.258289,0
1,54,38,69,29802.5,60223.1,0,1889.93,0.0274689,0.258289,0
1,55,38,69,29746.2,60263.5,0,1689.61,0.0274689,0.258289,0
1,56,38,69,29749.3,60215,0,1716.69,0.0274689,0.258289,0
1,57,38,69,29760.7,60277,0,2024.52,0.0274689,0.258289,0
1,58,38,69,29772.1,60250.6,0,1813.35,0.0274689,0.258289,0
1,59,38,69,29744.6,60213.2,0,1090.91,0.0274689,0.258289,0
1,60,38,69,29727.5,60230.4,0,2266.22,0.0274689,0.258289,0
1,61,38,69,29795.4,60181.7,0,1733.91,0.0274689,0.258289,0
1,62,38,69,29778.5,60232.6,0,1480.67,0.0274689,0.258289,0
1,63,38,69,29792.3,60165.7,0,2227.1,0.0274689,0.258289,0
1,64,38,69,29744.1,60219.7,0,1977.19,0.0274689,0.258289,0
1,65,38,69,29836.2,60211.8,0,1139.06,0.0274689,0.258289,0
1,66,38,69,29795.2,60206.5,0,1613.87,0.0274689,0.258289,0
1,67,38,69,29756.5,60211.6,0,1300,0.0274689,0.258289,0
1,68,38,69,29775.2,60200.2,0,1556.4,0.0274689,0.258289,0
1,69,38,69,29808.3,60229.4,0,1351.74,0.0274689,0.258289,0
1,70,38,69,29769.9,60282.2,0,949.536,0.0274689,0.258289,0
1,1,39,19,31595.2,60953.5,0,1361.18,0.0186233,0.610774,0
1,2,39,19,31674.5,60895.6,0,1564.54,0.0186233,0.610774,0
1,3,39,19,31652.3,60919.6,0,1018.39,0.0186233,0.610774,0
1,4,39,19,31647.5,60884.8,0,1445.65,0.0186233,0.610774,0
1,5,39,19,31640.9,60939.9,0,1724.82,0.0186233,0.610774,0
1,6,39,19,31633,60899.5,0,1320.66,0.0186233,0.610774,0
1,7,39,19,31635.4,60907.3,0,1126.56,0.0186233,0.610774,0
1,8,39,19,31608.2,60926.3,0,975.088,0.0186233,0.610774,0
1,9,39,19,31620.4,60953.8,0,1021.49,0.0186233,0.610774,0
1,10,39,19,31634.4,60922.6,0,1308.61,0.0186233,0.610774,0
1,11,39,19,31658.5,60922.2,0,1354.1,0.0186233,0.610774,0
1,12,39,19,31658.9,60898.5,0,1990.67,0.0186233,0.610774,0
1,13,39,19,31646.1,60927.4,0,1355.64,0.0186233,0.610774,0
1,14,39,19,31658.9,60912.6,0,1389.68,0.0186233,0.610774,0
1,15,39,19,31638,60913.8,0,1876.57,0.0186233,0.610774,0
1,16,39,19,31628.5,60901.6,0,681.013,0.0186233,0.610774,0
1,17,39,19,31612.2,60901.4,0,1200.02,0.0186233,0.610774,0
1,18,39,19,31631.9,60864.5,0,1506.78,0.0186233,0.610774,0
1,19,39,19,31654.3,60913.3,0,1563.63,0.0186233,0.610774,0
1,20,39,19,31644.4,60901.7,0,971.579,0.0186233,0.610774,0
1,1,41,14,32832.3,62460.1,0,1440.36,0.0239134,0.746358,0
1,2,41,14,32784.2,62458.5,0,1405.89,0.0239134,0.746358,0
1,3,41,14,32789.4,62406.1,0,1238.32,0.0239134,0.746358,0
1,4,41,14,32834.3,62407.4,0,2089.11,0.0239134,0.746358,0
1,5,41,14,32858.2,62396.3,0,2073.8,0.0239134,0.746358,0
1,6,41,14,32841.6,62410,0,2101.71,0.0239134,0.746358,0
1,7,41,14,32841.2,62385.7,0,2181.83,0.0239134,0.746358,0
1,8,41,14,32819.3,62423.3,0,2026.42,0.0239134,0.746358,0
1,9,41,14,32822.2,62397,0,1165.5,0.0239134,0.746358,0
1,10,41,14,32900.3,62369.9,0,1359.56,0.0239134,0.746358,0
1,11,41,14,32890,62431,0,1468.26,0.0239134,0.746358,0
1,12,41,14,32868.8,62403,0,1763.04,0.0239134,0.746358,0
1,13,41,14,32878.7,62359.9,0,1765.09,0.0239134,0.746358,0
1,14,41,14,32869.3,62387.7,0,1669.94,0.0239134,0.746358,0
1,15,41,14,32892.1,62396.4,0,1551.13,0.0239134,0.746358,0
1,1,43,5,47860.3,62980.8,0,2652.81,0.0244717,0.745742,0
1,2,43,5,47851.5,62999.6,0,2310.67,0.0244717,0.745742,0
1,3,43,5,47884.9,62971.2,0,2166.47,0.0244717,0.745742,0
1,4,43,5,47877.7,62989.8,0,3056.72,0.0244717,0.745742,0
1,5,43,5,47848.7,62976.3,0,2757.23,0.0244717,0.745742,0
1,6,43,5,47776,63003.3,0,4160.4,0.0244717,0.745742,0
1,1,44,38,36730.3,63509,0,903.545,0.110057,0.461368,0
1,2,44,38,36613.5,63528.7,0,6644.19,0.110057,0.461368,0
1,3,44,38,36648.7,63639.3,0,2304.37,0.110057,0.461368,0
1,4,44,38,36610,63567.2,0,608.844,0.110057,0.461368,0
1,5,44,38,36691.5,63554,0,4017.83,0.110057,0.461368,0
1,6,44,38,36661.9,63767,0,4751.41,0.110057,0.461368,0
1,7,44,38,36693.9,63698.2,0,4018.57,0.110057,0.461368,0
1,8,44,38,36569.2,63600.8,0,5239.19,0.110057,0.461368,0
1,9,44,38,36687.3,63657,0,5507.04,0.110057,0.461368,0
1,10,44,38,36678.8,63595.8,0,983.304,0.110057,0.461368,0
1,11,44,38,36668.3,63523,0,1970.35,0.110057,0.461368,0
1,12,44,38,36540.6,63519.8,0,9265.81,0.110057,0.461368,0
1,13,44,38,36540.5,63591.4,0,11391.9,0.110057,0.461368,0
1,14,44,38,36669.2,63523.5,0,9314.35,0.110057,0.461368,0
1,15,44,38,36769,63474.3,0,11002.3,0.110057,0.461368,0
